Attribute Id	Attribute name	Domain Id
1542	endosomal transport	2
2504	retrograde transport, endosome to Golgi	2
863	vacuolar transport	2
808	intra-Golgi vesicle-mediated transport	2
3876	establishment of protein localization to vacuole	2
3875	protein localization to vacuole	2
673	protein targeting to vacuole	2
2049	CVT pathway	2
3484	membrane organization	3
2816	single-organism membrane organization	3
1514	vesicle organization	3
819	vesicle fusion	3
3485	membrane fusion	3
2815	single-organism membrane fusion	3
3153	organelle fusion	3
1541	vesicle-mediated transport	3
3133	Golgi vesicle transport	3
806	ER to Golgi vesicle-mediated transport	3
3152	vesicle fusion with Golgi apparatus	3
807	retrograde vesicle-mediated transport, Golgi to ER	3
818	vesicle docking involved in exocytosis	4
3956	vesicle tethering involved in exocytosis	4
3378	establishment of vesicle localization	4
3376	vesicle localization	4
817	vesicle targeting	4
810	Golgi to plasma membrane transport	4
3114	secretion	4
2144	secretion by cell	4
805	exocytosis	4
809	post-Golgi vesicle-mediated transport	4
3870	establishment of protein localization to mitochondrion	5
3808	protein transmembrane transport	5
3618	protein localization to mitochondrion	5
3537	intracellular protein transmembrane transport	5
2799	intracellular protein transmembrane import	5
780	mitochondrial transport	5
676	protein targeting to mitochondrion	5
3433	transmembrane transport	5
844	mitochondrion organization	5
3812	ribonucleoprotein complex subunit organization	6
970	RNA splicing	6
111	mRNA splicing, via spliceosome	6
101	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	6
99	RNA splicing, via transesterification reactions	6
108	spliceosomal conformational changes to generate catalytic conformation	6
69	spliceosomal complex assembly	6
94	generation of catalytic spliceosome for first transesterification step	6
2933	positive regulation of transcription from RNA polymerase I promoter	7
47	rRNA modification	7
3954	RNA phosphodiester bond hydrolysis, endonucleolytic	7
144	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7
143	endonucleolytic cleavage involved in rRNA processing	7
128	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7
2315	ncRNA 5'-end processing	7
218	rRNA 5'-end processing	7
217	RNA 5'-end processing	7
142	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7
145	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7
1824	maturation of SSU-rRNA	7
134	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7
2527	ribosomal small subunit biogenesis	7
4221	assembly of large subunit precursor of preribosome	8
3668	organelle assembly	8
2523	ribosome assembly	8
10	ribosomal large subunit assembly	8
2526	ribosomal large subunit biogenesis	8
141	maturation of LSU-rRNA	8
135	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
504	rRNA processing	8
1521	rRNA metabolic process	8
2314	ncRNA processing	8
2358	ncRNA metabolic process	8
138	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8
132	maturation of 5.8S rRNA	8
2340	cellular response to heat	9
3179	chromosome localization	9
2304	telomere localization	9
2305	telomere tethering at nuclear periphery	9
665	protein export from nucleus	9
4215	single-organism cellular localization	9
4214	single-organism localization	9
530	tRNA export from nucleus	9
3211	tRNA transport	9
1954	protein complex localization	9
2346	cellular protein complex localization	9
2408	maintenance of chromatin silencing at telomere	9
490	maintenance of chromatin silencing	9
2474	protein targeting to nuclear inner membrane	9
3385	localization within membrane	9
3383	nuclear pore localization	9
1879	nuclear pore distribution	9
841	nuclear pore organization	9
662	NLS-bearing protein import into nucleus	9
1993	mRNA export from nucleus in response to heat stress	9
220	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	9
219	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	9
1584	poly(A)+ mRNA export from nucleus	9
839	nucleus organization	9
21	ribosomal large subunit export from nucleus	9
2199	protein localization to organelle	9
1589	protein import	9
3799	nitrogen compound transport	9
527	RNA export from nucleus	9
528	mRNA export from nucleus	9
3252	nuclear export	9
525	RNA localization	9
3209	mRNA transport	9
1492	nucleobase-containing compound transport	9
3284	establishment of RNA localization	9
3181	RNA transport	9
3180	nucleic acid transport	9
820	nucleocytoplasmic transport	9
3253	nuclear transport	9
2333	protein localization to nucleus	9
3254	nuclear import	9
4219	single-organism nuclear import	9
2800	protein targeting to nucleus	9
661	protein import into nucleus	9
3371	organelle localization	9
3746	ribonucleoprotein complex export from nucleus	9
3711	ribonucleoprotein complex localization	9
2223	establishment of ribosome localization	9
2222	ribosome localization	9
20	ribosomal subunit export from nucleus	9
3747	rRNA-containing ribonucleoprotein complex export from nucleus	9
4115	organic cyclic compound catabolic process	10
3090	heterocycle catabolic process	10
2775	cellular nitrogen compound catabolic process	10
2356	nucleobase-containing compound catabolic process	10
1693	aromatic compound catabolic process	10
523	RNA catabolic process	10
3633	nonfunctional rRNA decay	10
56	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	10
79	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	10
3682	nuclear mRNA surveillance	10
3689	nuclear polyadenylation-dependent rRNA catabolic process	10
2709	ncRNA 3'-end processing	10
3699	nuclear polyadenylation-dependent ncRNA catabolic process	10
3683	nuclear ncRNA surveillance	10
3681	nuclear RNA surveillance	10
3680	RNA surveillance	10
2714	polyadenylation-dependent ncRNA catabolic process	10
2713	polyadenylation-dependent RNA catabolic process	10
2359	ncRNA catabolic process	10
1524	rRNA catabolic process	10
3692	nuclear polyadenylation-dependent tRNA catabolic process	10
1527	tRNA catabolic process	10
1899	snoRNA 3'-end processing	10
1898	rRNA 3'-end processing	10
3955	RNA phosphodiester bond hydrolysis, exonucleolytic	10
3704	polyadenylation-dependent snoRNA 3'-end processing	10
139	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10
131	exonucleolytic trimming involved in rRNA processing	10
3700	polyadenylation-dependent mRNA catabolic process	10
3696	nuclear polyadenylation-dependent mRNA catabolic process	10
3607	nuclear-transcribed mRNA catabolic process, non-stop decay	10
82	nuclear-transcribed mRNA catabolic process, exonucleolytic	10
3606	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay	10
2724	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	10
2310	nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	10
4126	organic substance catabolic process	11
2766	cellular catabolic process	11
986	catabolic process	11
2774	cellular protein metabolic process	11
1707	protein metabolic process	11
2638	proteasome-mediated ubiquitin-dependent protein catabolic process	11
1265	proteasomal protein catabolic process	11
1753	modification-dependent protein catabolic process	11
592	ubiquitin-dependent protein catabolic process	11
3367	proteolysis involved in cellular protein catabolic process	11
2769	cellular protein catabolic process	11
1804	protein catabolic process	11
591	proteolysis	11
2712	modification-dependent macromolecule catabolic process	11
987	macromolecule catabolic process	11
2773	cellular macromolecule catabolic process	11
1266	proteasomal ubiquitin-independent protein catabolic process	11
2651	proteasome assembly	11
2707	cellular protein complex assembly	11
3636	proteasome regulatory particle assembly	11
557	regulation of translational initiation	12
532	translational initiation	12
535	regulation of translation	12
3898	regulation of anatomical structure size	13
2109	regulation of cellular component size	13
2153	regulation of actin filament-based process	13
2150	regulation of actin cytoskeleton organization	13
850	actin filament organization	13
2825	actin nucleation	13
1853	positive regulation of actin filament polymerization	13
1849	regulation of actin filament polymerization	13
1848	regulation of actin filament length	13
945	regulation of actin polymerization or depolymerization	13
1857	cortical actin cytoskeleton organization	13
1856	cortical cytoskeleton organization	13
46	actin cortical patch assembly	13
3384	actin cortical patch localization	13
813	endocytosis	13
1788	actin filament-based process	13
1791	actin cytoskeleton organization	13
