Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YBL007C	YBL007C	14	0.669	2	0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
YBL023C	YBL023C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,62,24,0,0
YBL105C	YBL105C	15	0.456	2	0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
YBR009C	YBR009C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,18,95,0,0
YBR011C	YBR011C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR049C	YBR049C	9	0.549	2	0,0,0,0,0,0,0,23,0,11,0,0,0,0,0,0
YBR078W	YBR078W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR082C	YBR082C	11	1.000	1	0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
YBR085W	YBR085W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR087W	YBR087W	14	0.726	2	0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0
YBR095C	YBR095C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,2,65,0,0
YBR101C	YBR101C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR105C	YBR105C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR107C	YBR107C	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
YBR111W-A	YBR111W-A	15	0.555	1	0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
YBR118W	YBR118W	15	0.355	1	0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
YBR133C	YBR133C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,31,15,0,0
YBR135W	YBR135W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,29,25,0,0
YBR136W	YBR136W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,72,23,0,0
YBR155W	YBR155W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR160W	YBR160W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,78,16,0,0
YBR161W	YBR161W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR162C	YBR162C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR173C	YBR173C	11	0.997	2	0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
YBR181C	YBR181C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR189W	YBR189W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR190W	YBR190W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR200W	YBR200W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,0
YBR211C	YBR211C	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
YBR215W	YBR215W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,12,95,0,0
YBR229C	YBR229C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR237W	YBR237W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR253W	YBR253W	15	0.384	1	0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
YBR260C	YBR260C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,26,32,0,0
YBR274W	YBR274W	15	0.410	2	0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0
YBR289W	YBR289W	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
YBR290W	YBR290W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCL008C	YCL008C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCL010C	YCL010C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,4,88,0,0
YCL029C	YCL029C	14	1.000	2	0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0
YCL032W	YCL032W	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
YCL043C	YCL043C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCL048W	YCL048W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCL061C	YCL061C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,68,19,0,0
YCR002C	YCR002C	14	0.352	1	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YCR009C	YCR009C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,78,7,0,0
YCR024C-A	YCR024C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR025C	YCR025C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR031C	YCR031C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR053W	YCR053W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR063W	YCR063W	6	1.000	1	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
YCR066W	YCR066W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR073C	YCR073C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR077C	YCR077C	9	1.000	2	0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0
YCR086W	YCR086W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,67,9,0,0
YCR088W	YCR088W	13	1.000	3	0,0,0,0,0,0,0,0,0,0,0,12,5,1,0,0
YCR095C	YCR095C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL005C	YDL005C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL006W	YDL006W	11	0.569	1	0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
YDL007W	YDL007W	11	1.000	2	0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0
YDL008W	YDL008W	14	1.000	3	0,0,0,0,0,0,0,0,0,9,0,0,19,2,0,0
YDL013W	YDL013W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL017W	YDL017W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,65,12,0,0
YDL020C	YDL020C	11	1.000	2	0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0
YDL028C	YDL028C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,70,5,0,0
YDL029W	YDL029W	13	1.000	3	0,0,0,0,0,0,0,0,0,0,0,15,8,1,0,0
YDL030W	YDL030W	6	1.000	1	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
YDL035C	YDL035C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL043C	YDL043C	6	1.000	1	0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
YDL056W	YDL056W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,46,34,0,0
YDL064W	YDL064W	14	0.806	2	0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0
YDL070W	YDL070W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL083C	YDL083C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL084W	YDL084W	9	1.000	1	0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
YDL087C	YDL087C	6	1.000	1	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
YDL088C	YDL088C	14	0.878	1	0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
YDL097C	YDL097C	11	1.000	1	0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
YDL098C	YDL098C	6	0.776	1	0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
YDL100C	YDL100C	11	1.000	2	0,12,0,0,0,0,0,0,0,16,0,0,0,0,0,0
YDL101C	YDL101C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,30,80,0,0
YDL102W	YDL102W	14	0.551	1	0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
YDL106C	YDL106C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL108W	YDL108W	15	1.000	3	0,0,0,0,0,0,0,0,0,0,0,0,12,97,1,0
YDL115C	YDL115C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL117W	YDL117W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL122W	YDL122W	11	0.336	1	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
YDL125C	YDL125C	9	0.960	1	0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
YDL126C	YDL126C	11	0.403	1	0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
YDL127W	YDL127W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL136W	YDL136W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL139C	YDL139C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL140C	YDL140C	15	1.000	3	0,0,0,0,0,0,0,0,0,0,0,0,24,50,1,0
YDL145C	YDL145C	3	1.000	3	1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL146W	YDL146W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL147W	YDL147W	11	1.000	1	0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
YDL148C	YDL148C	7	1.000	2	0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0
YDL149W	YDL149W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL150W	YDL150W	1	0.642	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL153C	YDL153C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL155W	YDL155W	11	0.309	1	0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
YDL156W	YDL156W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL165W	YDL165W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL168W	YDL168W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL186W	YDL186W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL190C	YDL190C	11	0.423	2	0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
YDL192W	YDL192W	3	0.887	1	0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL193W	YDL193W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL203C	YDL203C	15	0.798	2	0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0
YDL207W	YDL207W	9	1.000	3	0,0,0,0,0,0,0,33,8,0,0,0,0,1,0,0
YDL208W	YDL208W	7	0.920	3	0,0,0,0,1,13,8,0,0,0,0,0,0,0,0,0
YDL209C	YDL209C	6	1.000	2	0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
YDL212W	YDL212W	1	0.398	1	0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL213C	YDL213C	8	1.000	4	0,0,0,0,1,3,13,6,0,0,0,0,0,0,0,0
YDL220C	YDL220C	14	0.719	1	0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
YDL225W	YDL225W	14	0.439	2	0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
YDL226C	YDL226C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDL229W	YDL229W	9	0.781	1	0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
YDL232W	YDL232W	17	0.847	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
YDR013W	YDR013W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0
YDR045C	YDR045C	1	0.512	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR050C	YDR050C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR054C	YDR054C	11	0.617	2	0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0
YDR059C	YDR059C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR062W	YDR062W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR067C	YDR067C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR071C	YDR071C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR073W	YDR073W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR076W	YDR076W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR080W	YDR080W	2	0.359	2	3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR081C	YDR081C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR086C	YDR086C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR087C	YDR087C	8	1.000	4	0,0,0,0,1,3,13,8,0,0,0,0,0,0,0,0
YDR088C	YDR088C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR091C	YDR091C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR092W	YDR092W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR096W	YDR096W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR098C	YDR098C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR101C	YDR101C	8	1.000	4	0,0,0,0,1,3,13,7,0,0,0,0,0,0,0,0
