gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type_of_interaction
SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	ng
MCM2	YBL023C	DNA replication licensing factor MCM2	RFA1	YAR007C	Replication factor A protein 1	ng
PKC1	YBL105C	Protein kinase C-like 1	SSA1	YAL005C	Heat shock protein SSA1	ng
PKC1	YBL105C	Protein kinase C-like 1	UTP20	YBL004W	U3 small nucleolar RNA-associated protein 20	ng
HHF1	YBR009C	Histone H4	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
IPP1	YBR011C	Inorganic pyrophosphatase	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	ng
REB1	YBR049C	DNA-binding protein REB1	MTW1	YAL034W-A	Kinetochore-associated protein MTW1	ng
ECM33	YBR078W	Cell wall protein ECM33 precursor	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	ng
ECM33	YBR078W	Cell wall protein ECM33 precursor	FLC2	YAL053W	Flavin carrier protein 2 precursor	ng
UBC4	YBR082C	Ubiquitin-conjugating enzyme E2 4	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
AAC3	YBR085W	ADP,ATP carrier protein 3	SSA1	YAL005C	Heat shock protein SSA1	ng
RFC5	YBR087W	Replication factor C subunit 5	POL12	YBL035C	DNA polymerase alpha subunit B	ng
RXT2	YBR095C	Transcriptional regulatory protein RXT2	PKC1	YBL105C	Protein kinase C-like 1	ng
FES1	YBR101C	Hsp70 nucleotide exchange factor FES1	SSA1	YAL005C	Heat shock protein SSA1	ng
VID24	YBR105C	Vacuolar import and degradation protein 24	BDH2	YAL061W	Probable diacetyl reductase [(R)-acetoin forming] 2	ng
IML3	YBR107C	Central kinetochore subunit IML3	MTW1	YAL034W-A	Kinetochore-associated protein MTW1	ng
SUS1	YBR111W-A	Transcription and mRNA export factor SUS1 {ECO:0000255|HAMAP-Rule:MF_03046}	NUP60	YAR002W	Nucleoporin NUP60	ng
TEF2	YBR118W	Elongation factor 1-alpha	NA	YAL004W	Putative uncharacterized protein YAL004W	ng
HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	SHE1	YBL031W	Mitotic spindle-associated protein SHE1	ng
CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	NUP60	YAR002W	Nucleoporin NUP60	ng
CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	KIN3	YAR018C	Serine/threonine-protein kinase KIN3	ng
CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	EDE1	YBL047C	EH domain-containing and endocytosis protein 1	ng
CKS1	YBR135W	Cyclin-dependent kinases regulatory subunit	CDC27	YBL084C	Anaphase-promoting complex subunit CDC27	ng
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	TEL1	YBL088C	Serine/threonine-protein kinase TEL1	ng
CNS1	YBR155W	Hsp70/Hsp90 co-chaperone CNS1	CDC15	YAR019C	Cell division control protein 15	ng
CDC28	YBR160W	Cyclin-dependent kinase 1	CCR4	YAL021C	Glucose-repressible alcohol dehydrogenase transcriptional effector	ng
CSH1	YBR161W	Mannosyl phosphorylinositol ceramide synthase CSH1	PMT2	YAL023C	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 {ECO:0000305}	ng
CSH1	YBR161W	Mannosyl phosphorylinositol ceramide synthase CSH1	PTA1	YAL043C	Pre-tRNA-processing protein PTA1	ng
TOS1	YBR162C	Protein TOS1 precursor	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
UMP1	YBR173C	Proteasome maturation factor UMP1	PRE7	YBL041W	Proteasome subunit beta type-6 precursor	ng
RPS6B	YBR181C	40S ribosomal protein S6-B	AAC3	YBR085W	ADP,ATP carrier protein 3	ng
RPS9B	YBR189W	40S ribosomal protein S9-B	RPL19B	YBL027W	60S ribosomal protein L19-B	ng
NA	YBR190W	Putative uncharacterized protein YBR190W	RPL19B	YBL027W	60S ribosomal protein L19-B	ng
BEM1	YBR200W	Bud emergence protein 1	BOI1	YBL085W	Protein BOB1	ng
AME1	YBR211C	Central kinetochore subunit AME1	HHF1	YBR009C	Histone H4	ng
HPC2	YBR215W	Histone promoter control protein 2	HHF1	YBR009C	Histone H4	ng
HPC2	YBR215W	Histone promoter control protein 2	HHT1	YBR010W	Histone H3	ng
ROT2	YBR229C	Glucosidase 2 subunit alpha precursor	FLC2	YAL053W	Flavin carrier protein 2 precursor	ng
ROT2	YBR229C	Glucosidase 2 subunit alpha precursor	ERD2	YBL040C	ER lumen protein-retaining receptor	ng
PRP5	YBR237W	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	SEC17	YBL050W	Alpha-soluble NSF attachment protein	ng
SRB6	YBR253W	Mediator of RNA polymerase II transcription subunit 22	CSG2	YBR036C	Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2 precursor	ng
RGD1	YBR260C	RHO GTPase-activating protein RGD1	PKC1	YBL105C	Protein kinase C-like 1	ng
CHK1	YBR274W	Serine/threonine-protein kinase CHK1	CDC19	YAL038W	Pyruvate kinase 1	ng
SNF5	YBR289W	SWI/SNF chromatin-remodeling complex subunit SNF5	HAP3	YBL021C	Transcriptional activator HAP3	ng
BSD2	YBR290W	Metal homeostatis protein BSD2	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	ng
STP22	YCL008C	Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease	ARC40	YBR234C	Actin-related protein 2/3 complex subunit 1	ng
SGF29	YCL010C	SAGA-associated factor 29	SAS3	YBL052C	Histone acetyltransferase SAS3	ng
SGF29	YCL010C	SAGA-associated factor 29	SUS1	YBR111W-A	Transcription and mRNA export factor SUS1 {ECO:0000255|HAMAP-Rule:MF_03046}	ng
BIK1	YCL029C	Nuclear fusion protein BIK1	LTE1	YAL024C	Guanine nucleotide exchange factor LTE1	ng
