kinase_gene_name	kinase_oln_id	kinase_gene_description	target_gene_name	target_oln_id	target_gene_description	score
SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	MIG1	YGL035C	Regulatory protein MIG1	31.495818
CDC28	YBR160W	Cyclin-dependent kinase 1	SIC1	YLR079W	Protein SIC1	30.1214
IPL1	YPL209C	Spindle assembly checkpoint kinase	SLI15	YBR156C	Inner centromere protein-related protein SLI15	29.349988
CDC28	YBR160W	Cyclin-dependent kinase 1	SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	28.11273
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	26.06954
SLT2	YHR030C	Mitogen-activated protein kinase SLT2/MPK1	MKK2	YPL140C	MAP kinase kinase MKK2/SSP33	26.05867
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	FPS1	YLL043W	Glycerol uptake/efflux facilitator protein	25.460711
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	PHO81	YGR233C	Phosphate system positive regulatory protein PHO81	25.26655
HOG1	YLR113W	Mitogen-activated protein kinase HOG1	RCK2	YLR248W	Serine/threonine-protein kinase RCK2	25.24034
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	PHO80	YOL001W	PHO85 cyclin PHO80	25.097291
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	PHO4	YFR034C	Phosphate system positive regulatory protein PHO4	25.09087
SAK1	YER129W	SNF1-activating kinase 1	SNF1	YDR477W	Carbon catabolite-derepressing protein kinase	24.661471
CDC28	YBR160W	Cyclin-dependent kinase 1	CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	24.61984
PRK1	YIL095W	Actin-regulating kinase PRK1	PAN1	YIR006C	Actin cytoskeleton-regulatory complex protein PAN1	24.51295
KIN4	YOR233W	Serine/threonine-protein kinase KIN4	BFA1	YJR053W	Mitotic check point protein BFA1	24.45886
MEC1	YBR136W	Serine/threonine-protein kinase MEC1	RFA1	YAR007C	Replication factor A protein 1	24.36728
HSL1	YKL101W	Probable serine/threonine-protein kinase HSL1	HSL7	YBR133C	Protein arginine N-methyltransferase HSL7 {ECO:0000305|PubMed:10903903}	23.130898
CDC28	YBR160W	Cyclin-dependent kinase 1	WHI5	YOR083W	G1-specific transcriptional repressor WHI5	22.94789
CDC28	YBR160W	Cyclin-dependent kinase 1	FIN1	YDR130C	Filament protein FIN1	22.45656
SWE1	YJL187C	Mitosis inhibitor protein kinase SWE1	CDC28	YBR160W	Cyclin-dependent kinase 1	22.30999
RAD53	YPL153C	Serine/threonine-protein kinase RAD53	DUN1	YDL101C	DNA damage response protein kinase DUN1	22.07846
TPK3	YKL166C	cAMP-dependent protein kinase type 3	ATG1	YGL180W	Serine/threonine-protein kinase ATG1 {ECO:0000305}	21.8142
CDC28	YBR160W	Cyclin-dependent kinase 1	NET1	YJL076W	Nucleolar protein NET1	21.77112
CDC5	YMR001C	Cell cycle serine/threonine-protein kinase CDC5/MSD2	MCD1	YDL003W	Sister chromatid cohesion protein 1	21.62542
CDC28	YBR160W	Cyclin-dependent kinase 1	CDH1	YGL003C	APC/C activator protein CDH1	21.47664
MPS1	YDL028C	Serine/threonine-protein kinase MPS1	SPC42	YKL042W	Spindle pole body component SPC42	21.38436
PRK1	YIL095W	Actin-regulating kinase PRK1	SLA1	YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	21.161866
PHO85	YPL031C	Cyclin-dependent protein kinase PHO85	RVS167	YDR388W	Reduced viability upon starvation protein 167	21.059121
YPD1	YDL235C	Phosphorelay intermediate protein YPD1	SSK1	YLR006C	Osmolarity two-component system protein SSK1	20.985858
