oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	go_BP_count	go_BP_intersect_abc
1	YBL023C	YAR007C	YLR103C	p	p	4	DNA recombination; DNA repair; DNA replication; cellular response to DNA damage stimulus
2	YBR082C	YBL084C	YDL008W	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
3	YBR082C	YBL084C	YGL003C	p	p	2	protein modification by small protein conjugation or removal; proteolysis involved in cellular protein catabolic process
4	YBR087W	YBL035C	YOR217W	p	p	1	DNA replication
5	YBR101C	YAL005C	YDL229W	p	p	1	cytoplasmic translation
6	YBR107C	YAL034W-A	YBR211C	p	p	1	chromosome segregation
7	YBR107C	YAL034W-A	YDR254W	p	p	1	chromosome segregation
8	YBR107C	YAL034W-A	YGR179C	p	p	1	chromosome segregation
9	YBR107C	YAL034W-A	YIR010W	p	p	1	chromosome segregation
10	YBR107C	YAL034W-A	YPL018W	p	p	1	chromosome segregation
11	YBR107C	YAL034W-A	YPR046W	p	p	1	chromosome segregation
12	YBR111W-A	YAR002W	YBR010W	p	p	1	chromatin organization
13	YBR111W-A	YAR002W	YPL169C	p	p	2	nuclear transport; nucleobase-containing compound transport
14	YBR135W	YAL024C	YBR160W	ku	ku	2	mitotic cell cycle; regulation of cell cycle
15	YBR135W	YAL024C	YBR160W	ku	p	2	mitotic cell cycle; regulation of cell cycle
16	YBR135W	YAL024C	YBR160W	p	ku	2	mitotic cell cycle; regulation of cell cycle
17	YBR135W	YAL024C	YBR160W	p	p	2	mitotic cell cycle; regulation of cell cycle
18	YBR135W	YAL024C	YNL068C	tu	tu	2	mitotic cell cycle; regulation of cell cycle
19	YBR135W	YAL024C	YPR119W	p	p	2	mitotic cell cycle; regulation of cell cycle
20	YBR135W	YAR002W	YBR160W	ku	ku	1	chromatin organization
21	YBR135W	YAR002W	YBR160W	ku	p	1	chromatin organization
22	YBR135W	YAR002W	YBR160W	p	ku	1	chromatin organization
23	YBR135W	YAR002W	YBR160W	p	p	1	chromatin organization
24	YBR136W	YBL088C	YAR007C	kd	kd	2	cellular response to DNA damage stimulus; telomere organization
25	YBR136W	YBL088C	YAR007C	p	kd	2	cellular response to DNA damage stimulus; telomere organization
26	YBR136W	YBL088C	YDL101C	kd	kd	2	cellular response to DNA damage stimulus; protein phosphorylation
27	YBR136W	YBL088C	YDL220C	kd	kd	1	telomere organization
28	YBR136W	YBL088C	YDL220C	p	kd	1	telomere organization
29	YBR136W	YBL088C	YDR217C	kd	kd	1	cellular response to DNA damage stimulus
