oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	go_CC_count	go_CC_intersect_abc
1	YBL023C	YAR007C	YDL056W	tu	tu	1	nucleus
2	YBL023C	YAR007C	YDR510W	p	p	3	chromosome; cytoplasm; nucleus
3	YBL023C	YAR007C	YLR103C	p	p	2	chromosome; nucleus
4	YBL105C	YAL005C	YBR160W	ku	ku	2	cytoplasm; nucleus
5	YBL105C	YAL005C	YBR160W	p	ku	2	cytoplasm; nucleus
6	YBL105C	YAL005C	YER165W	p	p	2	cytoplasm; nucleus
7	YBL105C	YBL004W	YBR049C	tu	tu	1	nucleus
8	YBR049C	YAL034W-A	YMR117C	td	p	1	nucleus
9	YBR049C	YAL034W-A	YPL018W	td	p	1	nucleus
10	YBR085W	YAL005C	YNL216W	tu	tu	1	cytoplasm
11	YBR087W	YBL035C	YOR217W	p	p	1	chromosome
12	YBR095C	YBL105C	YBR049C	tu	tu	1	nucleus
13	YBR101C	YAL005C	YDL229W	p	p	1	cytoplasm
14	YBR101C	YAL005C	YGL073W	tu	tu	1	cytoplasm
15	YBR107C	YAL034W-A	YBR211C	p	p	2	chromosome; nucleus
16	YBR107C	YAL034W-A	YDR254W	p	p	2	chromosome; nucleus
17	YBR107C	YAL034W-A	YGR179C	p	p	2	chromosome; nucleus
18	YBR107C	YAL034W-A	YIR010W	p	p	2	chromosome; nucleus
19	YBR107C	YAL034W-A	YPL018W	p	p	2	chromosome; nucleus
20	YBR107C	YAL034W-A	YPR046W	p	p	2	chromosome; nucleus
21	YBR111W-A	YAR002W	YBR010W	p	p	1	nucleus
22	YBR111W-A	YAR002W	YPL169C	p	p	2	endomembrane system; nucleus
23	YBR133C	YBL031W	YLR113W	ku	ku	1	cytoplasm
24	YBR135W	YAR002W	YBR160W	ku	ku	2	cytoplasm; nucleus
25	YBR135W	YAR002W	YBR160W	ku	p	2	cytoplasm; nucleus
26	YBR135W	YAR002W	YBR160W	p	ku	2	cytoplasm; nucleus
