oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	go_MF_count	go_MF_intersect_abc
1	YBL023C	YAR007C	YDL056W	tu	tu	1	DNA binding
2	YBL023C	YAR007C	YLR103C	p	p	1	DNA binding
3	YBR082C	YBL084C	YDL008W	p	p	1	transferase activity
4	YBR136W	YBL088C	YDL101C	kd	kd	2	kinase activity; transferase activity
5	YBR136W	YBL088C	YHR030C	kd	kd	2	kinase activity; transferase activity
6	YBR136W	YBL088C	YPL153C	kd	kd	2	kinase activity; transferase activity
7	YBR136W	YBL088C	YPL153C	kd	ku	2	kinase activity; transferase activity
8	YBR136W	YBL088C	YPL153C	ku	kd	2	kinase activity; transferase activity
9	YBR136W	YBL088C	YPL153C	ku	ku	2	kinase activity; transferase activity
10	YBR136W	YBL088C	YPL153C	p	kd	2	kinase activity; transferase activity
11	YBR136W	YBL088C	YPL153C	p	ku	2	kinase activity; transferase activity
12	YBR215W	YBR009C	YBL008W	p	p	1	DNA binding
13	YBR215W	YBR009C	YBL008W	p	tu	1	DNA binding
14	YBR215W	YBR009C	YOR038C	p	tu	1	DNA binding
15	YBR215W	YBR010W	YBL008W	p	p	1	DNA binding
16	YBR215W	YBR010W	YBL008W	p	tu	1	DNA binding
17	YBR215W	YBR010W	YOR038C	p	p	1	DNA binding
18	YBR215W	YBR010W	YOR038C	p	tu	1	DNA binding
19	YBR274W	YAL038W	YPL203W	kd	ku	1	transferase activity
20	YBR274W	YAL038W	YPL203W	kd	p	1	transferase activity
21	YBR274W	YAL038W	YPL203W	ku	ku	1	transferase activity
22	YBR274W	YAL038W	YPL203W	ku	p	1	transferase activity
23	YDL008W	YBL084C	YDR118W	p	p	1	transferase activity
24	YDL008W	YBL084C	YFR036W	p	p	1	transferase activity
25	YDL008W	YBL084C	YGL240W	p	p	1	transferase activity
26	YDL008W	YBL084C	YHR166C	p	p	1	transferase activity
27	YDL008W	YBL084C	YKL022C	p	p	1	transferase activity
28	YDL008W	YBL084C	YLR102C	p	p	1	transferase activity
