regulator_gene_name	regulator_oln_id	regulator_gene_description	target_gene_name	target_oln_id	target_gene_description	gene_expression_evidence	binding_evidence	combinatorial_evidence	regulation_direction	pubmed_id
REB1	YBR049C	DNA-binding protein REB1	PAC10	YGR078C	Prefoldin subunit 3	0	2	0		16522208,21329885
TEC1	YBR083W	Ty transcription activator TEC1	ALG14	YBR070C	UDP-N-acetylglucosamine transferase subunit ALG14	0	0	1		10535956
TEC1	YBR083W	Ty transcription activator TEC1	NA	YGR149W	Uncharacterized membrane protein YGR149W	0	0	1		10535956
SMP1	YBR182C	Transcription factor SMP1	SSK22	YCR073C	Serine/threonine-protein kinase SSK22	0	2	0		12399584,22720667
SWI5	YDR146C	Transcriptional factor SWI5	GPR1	YDL035C	G protein-coupled receptor GPR1	0	2	0		12399584,22720667
UME6	YDR207C	Transcriptional regulatory protein UME6	PXA1	YPL147W	Peroxisomal long-chain fatty acid import protein 2	0	2	0		21329885,22720667
STE12	YHR084W	Protein STE12	NA	YLR042C	Cell wall protein YLR042C precursor	0	0	2		10535956
SUM1	YDR310C	Suppressor of mar1-1 protein	SAS5	YOR213C	Something about silencing protein 5	0	2	0		12399584,16522208
ARO80	YDR421W	Transcriptional activator ARO80	YCK1	YHR135C	Casein kinase I homolog 1	0	2	0		12399584,22720667
GCN4	YEL009C	General control protein GCN4	RTC2	YBR147W	Probable vacuolar amino acid transporter YPQ3	1	1	0		16522208,22114689
STE12	YHR084W	Protein STE12	TKL2	YBR117C	Transketolase 2	0	0	1		10535956
STE12	YHR084W	Protein STE12	PUN1	YLR414C	Protein PUN1	0	0	1		10535956
STP2	YHR006W	Transcription factor STP2 precursor	FIG1	YBR040W	Factor-induced gene 1 protein	0	2	0		12399584,22720667
STE12	YHR084W	Protein STE12	SFP1	YLR403W	Transcription factor SFP1	0	0	1		10535956
PHD1	YKL043W	Putative transcription factor PHD1	DSF1	YEL070W	Mannitol dehydrogenase DSF1	0	2	0		12399584,22720667
HAP4	YKL109W	Transcriptional activator HAP4	UPS2	YLR168C	Protein UPS2, mitochondrial	0	2	0		12399584,22720667
ABF1	YKL112W	ARS-binding factor 1	SSF2	YDR312W	Ribosome biogenesis protein SSF2	0	2	0		12399584,16522208
ABF1	YKL112W	ARS-binding factor 1	EDC1	YGL222C	Enhancer of mRNA-decapping protein 1	0	2	0		12399584,16522208
ABF1	YKL112W	ARS-binding factor 1	RNA14	YMR061W	mRNA 3'-end-processing protein RNA14	0	2	0		12399584,16522208
ABF1	YKL112W	ARS-binding factor 1	POM152	YMR129W	Nucleoporin POM152	0	2	0		12399584,16522208
ACE2	YLR131C	Metallothionein expression activator	RPA14	YDR156W	DNA-directed RNA polymerase I subunit RPA14	0	2	0		12399584,16522208
SWI6	YLR182W	Regulatory protein SWI6	PDS1	YDR113C	Securin	0	2	0		12399584,16522208
SFP1	YLR403W	Transcription factor SFP1	TAD2	YJL035C	tRNA-specific adenosine deaminase subunit TAD2	1	1	0		18524923,22720667
FKH2	YNL068C	Fork head protein homolog 2	SRL1	YOR247W	Cell wall protein SRL1 precursor	0	2	0		12399584,16522208
