oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	K1	K2	P	T1	T2
YBL023C	YAR007C	YDL056W	tu	tu	0	0	1	0	0
YBL023C	YAR007C	YDR510W	p	p	0	0	1	0	0
YBL023C	YAR007C	YLR103C	p	p	0	0	1	0	0
YBR087W	YBL035C	YOR217W	p	p	0	0	1	0	0
YBR101C	YAL005C	YDL229W	p	p	0	0	1	0	0
YBR101C	YAL005C	YGL073W	tu	tu	0	0	1	0	0
YBR136W	YBL088C	YAR007C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YAR007C	p	kd	1	1	0	0	0
YBR136W	YBL088C	YDL101C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YDL220C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YDL220C	p	kd	1	1	0	0	0
YBR136W	YBL088C	YDR217C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YER095W	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YGL175C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YHR030C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YJR060W	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YMR133W	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YNL312W	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YNL312W	p	kd	1	1	0	0	0
YBR136W	YBL088C	YOR189W	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YPL153C	kd	kd	1	1	0	0	0
YBR136W	YBL088C	YPL153C	kd	ku	1	1	0	0	0
YBR136W	YBL088C	YPL153C	ku	kd	1	1	0	0	0
YBR136W	YBL088C	YPL153C	ku	ku	1	1	0	0	0
YBR136W	YBL088C	YPL153C	p	kd	1	1	0	0	0
YBR136W	YBL088C	YPL153C	p	ku	1	1	0	0	0
YBR200W	YBL085W	YAL041W	p	p	0	0	1	0	0
YBR200W	YBL085W	YBR160W	ku	ku	0	0	1	0	0
YBR200W	YBL085W	YBR160W	p	ku	0	0	1	0	0
YBR200W	YBL085W	YHL007C	ku	ku	0	0	1	0	0
YBR200W	YBL085W	YHL007C	ku	p	0	0	1	0	0
YBR200W	YBL085W	YHL007C	p	ku	0	0	1	0	0
YBR200W	YBL085W	YHL007C	p	p	0	0	1	0	0
YBR200W	YBL085W	YLR229C	p	p	0	0	1	0	0
YBR200W	YBL085W	YNL298W	ku	ku	0	0	1	0	0
YBR200W	YBL085W	YNL298W	p	ku	0	0	1	0	0
YCL029C	YBR160W	YJL106W	ku	kd	1	0	0	0	0
YCL029C	YBR160W	YJL106W	ku	ku	1	0	0	0	0
YCL029C	YBR160W	YLR045C	p	kd	1	0	0	0	0
YCL029C	YBR160W	YLR045C	p	p	1	0	0	0	0
YCL029C	YBR160W	YPL155C	p	kd	1	0	0	0	0
YCL029C	YBR160W	YPL155C	p	p	1	0	0	0	0
YCL029C	YBR160W	YPL269W	p	kd	1	0	0	0	0
YCL029C	YBR160W	YPL269W	p	p	1	0	0	0	0
YCL029C	YBR160W	YPR018W	p	kd	1	0	0	0	0
YCL029C	YBR160W	YPR018W	p	p	1	0	0	0	0
YCL061C	YAR002W	YLR113W	ku	ku	0	0	1	0	0
YCL061C	YAR002W	YLR113W	p	ku	0	0	1	0	0
YCL061C	YAR002W	YNL273W	p	p	0	0	1	0	0
YCL061C	YAR002W	YPL153C	ku	ku	0	0	1	0	0
YCL061C	YAR002W	YPL153C	p	ku	0	0	1	0	0
YCL061C	YBL023C	YDR489W	p	p	0	0	1	0	0
YCL061C	YBL023C	YEL032W	p	p	0	0	1	0	0
YCL061C	YBL023C	YGL201C	p	p	0	0	1	0	0
YCL061C	YBL023C	YLR103C	p	p	0	0	1	0	0
YCL061C	YBL023C	YMR048W	p	p	0	0	1	0	0
YCL061C	YBL023C	YNL262W	p	p	0	0	1	0	0
YCL061C	YBL023C	YNL273W	p	p	0	0	1	0	0
YCL061C	YBL023C	YOR080W	p	p	0	0	1	0	0
YCL061C	YBL023C	YPR019W	p	p	0	0	1	0	0
YCL061C	YBR136W	YGL201C	p	kd	1	0	0	0	0
YCL061C	YBR136W	YPL153C	ku	kd	1	0	0	0	0
YCL061C	YBR136W	YPL153C	ku	ku	1	0	0	0	0
YCL061C	YBR136W	YPL153C	ku	p	1	0	0	0	0
YCL061C	YBR136W	YPL153C	p	kd	1	0	0	0	0
YCL061C	YBR136W	YPL153C	p	ku	1	0	0	0	0
YCL061C	YBR136W	YPL153C	p	p	1	0	0	0	0
YCL061C	YBR136W	YPR019W	p	kd	1	0	0	0	0
YCR088W	YBL007C	YBR160W	ku	ku	0	0	1	0	0
YCR088W	YBL007C	YDR388W	p	p	0	0	1	0	0
YCR088W	YBL007C	YFR024C-A	p	p	0	0	1	0	0
YCR088W	YBL007C	YHR016C	p	p	0	0	1	0	0
YCR088W	YBL007C	YIL095W	ku	ku	0	0	1	0	0
YCR088W	YBL007C	YIL095W	ku	p	0	0	1	0	0
YCR088W	YBL007C	YIL095W	p	ku	0	0	1	0	0
YCR088W	YBL007C	YIL095W	p	p	0	0	1	0	0
YCR088W	YBL007C	YNL020C	ku	ku	0	0	1	0	0
YCR088W	YBL007C	YNL020C	ku	p	0	0	1	0	0
YCR088W	YBL007C	YNL020C	p	ku	0	0	1	0	0
YCR088W	YBL007C	YNL020C	p	p	0	0	1	0	0
YCR088W	YBL007C	YNL094W	p	p	0	0	1	0	0
YCR088W	YBL007C	YNL106C	p	p	0	0	1	0	0
YCR088W	YBL007C	YOR181W	p	p	0	0	1	0	0
YCR088W	YBL007C	YPR171W	p	p	0	0	1	0	0
YDL007W	YBR272C	YDL147W	p	p	0	0	1	0	0
YDL007W	YBR272C	YDR363W-A	p	p	0	0	1	0	0
YDL007W	YBR272C	YDR394W	p	p	0	0	1	0	0
YDL007W	YBR272C	YFR004W	p	p	0	0	1	0	0
YDL007W	YBR272C	YGL004C	p	p	0	0	1	0	0
YDL007W	YBR272C	YGL048C	p	p	0	0	1	0	0
YDL007W	YBR272C	YGR232W	p	p	0	0	1	0	0
YDL007W	YBR272C	YHR200W	p	p	0	0	1	0	0
YDL007W	YBR272C	YIL075C	p	p	0	0	1	0	0
YDL007W	YBR272C	YKL145W	p	p	0	0	1	0	0
YDL007W	YBR272C	YOR117W	p	p	0	0	1	0	0
YDL007W	YBR272C	YPR108W	p	p	0	0	1	0	0
YDL008W	YBL084C	YDR118W	p	p	0	0	1	0	0
YDL008W	YBL084C	YDR260C	p	p	0	0	1	0	0
YDL008W	YBL084C	YFR036W	p	p	0	0	1	0	0
YDL008W	YBL084C	YGL240W	p	p	0	0	1	0	0
YDL008W	YBL084C	YHR166C	p	p	0	0	1	0	0
YDL008W	YBL084C	YKL022C	p	p	0	0	1	0	0
YDL008W	YBL084C	YLR102C	p	p	0	0	1	0	0
YDL008W	YBL084C	YLR127C	p	p	0	0	1	0	0
YDL008W	YBL084C	YNL172W	p	p	0	0	1	0	0
YDL008W	YBL084C	YOR249C	p	p	0	0	1	0	0
YDL020C	YBL041W	YDL147W	td	p	0	0	0	0	1
YDL020C	YBL041W	YER012W	td	p	0	0	0	0	1
YDL020C	YBL041W	YER094C	td	p	0	0	0	0	1
YDL020C	YBL041W	YFR004W	td	p	0	0	0	0	1
YDL020C	YBL041W	YFR050C	td	p	0	0	0	0	1
YDL020C	YBL041W	YGR253C	td	p	0	0	0	0	1
YDL020C	YBL041W	YMR314W	td	p	0	0	0	0	1
YDL020C	YBL058W	YDL126C	td	p	0	0	0	0	1
YDL020C	YBL058W	YFL044C	td	p	0	0	0	0	1
YDL029W	YBR234C	YIL062C	p	p	0	0	1	0	0
YDL029W	YBR234C	YIL095W	ku	ku	0	0	1	0	0
YDL029W	YBR234C	YIL095W	p	ku	0	0	1	0	0
YDL029W	YBR234C	YJR065C	p	p	0	0	1	0	0
YDL029W	YBR234C	YKL013C	p	p	0	0	1	0	0
YDL029W	YBR234C	YKL129C	p	p	0	0	1	0	0
YDL029W	YBR234C	YLR337C	p	p	0	0	1	0	0
YDL029W	YBR234C	YLR370C	p	p	0	0	1	0	0
