oln_id	uniprot_acc	gene_name	description	synonyms
YDL229W	P11484	SSB1	Heat shock protein SSB1	YG101
YLR342W	P38631	FKS1	1,3-beta-glucan synthase component FKS1	CND1;CWH53;ETG1;GLS1;GSC1;PBR1
YER125W	P39940	RSP5	E3 ubiquitin-protein ligase RSP5	MDP1;NPI1
YAL005C	P10591	SSA1	Heat shock protein SSA1	
YGL173C	P22147	XRN1	5'-3' exoribonuclease 1	DST2;KEM1;RAR5;SEP1;SKI1
YPL240C	P02829	HSP82	ATP-dependent molecular chaperone HSP82	HSP90
YLL024C	P10592	SSA2	Heat shock protein SSA2	
YHR005C	P08539	GPA1	Guanine nucleotide-binding protein alpha-1 subunit	CDC70;DAC1;SCG1
YDR283C	P15442	GCN2	eIF-2-alpha kinase GCN2 {ECO:0000250|UniProtKB:Q9HGN1}	AAS1
YMR186W	P15108	HSC82	ATP-dependent molecular chaperone HSC82	
YLR291C	P32502	GCD7	Translation initiation factor eIF-2B subunit beta	TIF222
YOR326W	P19524	MYO2	Myosin-2	CDC66
YHL007C	Q03497	STE20	Serine/threonine-protein kinase STE20	
YNL330C	P32561	RPD3	Histone deacetylase RPD3	MOF6;REC3;SDI2;SDS6
YLL026W	P31539	HSP104	Heat shock protein 104	
YBR261C	P38340	TAE1	Alpha N-terminal protein methyltransferase 1	NTM1
YBR010W	P61830	HHT1	Histone H3	
YNL031C	P61830	HHT2	Histone H3	SIN2
YOL090W	P25847	MSH2	DNA mismatch repair protein MSH2	
YGL180W	P53104	ATG1	Serine/threonine-protein kinase ATG1 {ECO:0000305}	APG1 {ECO:0000303|PubMed:9169869};AUT3 {ECO:0000303|PubMed:9190802};CVT10 {ECO:0000303|PubMed:8663607}
YER133W	P32598	GLC7	Serine/threonine-protein phosphatase PP1-2	CID1;DIS2
YOL115W	P53632	PAP2	Poly(A) RNA polymerase protein 2	TRF4
YBL003C	P04912	HTA2	Histone H2A.2	H2A2
YBL078C	P38182	ATG8	Autophagy-related protein 8 precursor	APG8;AUT7;CVT5
YPR080W	P02994	TEF1	Elongation factor 1-alpha	
YBR118W	P02994	TEF2	Elongation factor 1-alpha	
YLR113W	P32485	HOG1	Mitogen-activated protein kinase HOG1	SSK3
YBR160W	P00546	CDC28	Cyclin-dependent kinase 1	CDK1;HSL5;SRM5
YJR025C	P47096	BNA1	3-hydroxyanthranilate 3,4-dioxygenase {ECO:0000255|HAMAP-Rule:MF_03019}	HAD1
YLR027C	P23542	AAT2	Aspartate aminotransferase, cytoplasmic	ASP5
YKL106W	Q01802	AAT1	Aspartate aminotransferase, mitochondrial precursor	
YKL112W	P14164	ABF1	ARS-binding factor 1	BAF1;OBF1;REB2;SBF1
YCR088W	P15891	ABP1	Actin-binding protein	
YER045C	P39970	ACA1	ATF/CREB activator 1	
YAL016W	P31383	TPD3	Protein phosphatase PP2A regulatory subunit A	
YGL190C	Q00362	CDC55	Protein phosphatase PP2A regulatory subunit B	
YOL136C	Q12471	PFK27	6-phosphofructo-2-kinase 2	
YOL165C	Q08361	AAD15	Putative aryl-alcohol dehydrogenase AAD15	
