oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	num_phenotype_shared	phenotype_intersect_abc
YBR162C	YBL007C	YKL112W	tu	tu	1	(null, resistance to chemicals: increased, toxaphene (640 uM))
YBR260C	YBL105C	YJL095W	ku	kd	1	(null, resistance to chemicals: decreased, staurosporine)
YBR260C	YBL105C	YJL095W	ku	ku	1	(null, resistance to chemicals: decreased, staurosporine)
YBR260C	YBL105C	YJL095W	ku	p	1	(null, resistance to chemicals: decreased, staurosporine)
YCL010C	YBL052C	YNL031C	p	p	2	(null, resistance to chemicals: increased, bleomycin (3.2 uM)); (null, resistance to chemicals: increased, fluconazole (100 uM))
YCL032W	YBR083W	YLR113W	ku	ku	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCL061C	YAR002W	YNL273W	p	p	1	(null, resistance to chemicals: decreased, idarubicin (50 uM))
YCR009C	YBR037C	YNL068C	tu	tu	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR053W	YBR077C	YKL112W	tu	tu	1	(null, innate thermotolerance: increased,  )
YCR077C	YBR290W	YPL240C	p	p	1	(null, resistance to chemicals: decreased, aluminium(3+) (0.4 mM)|(E)-1,1'-azobis(N,N-dimethylformamide) (0.8 mM))
YCR088W	YBL007C	YDR388W	p	p	3	(null, resistance to chemicals: decreased, bleomycin (3.2 uM)); (null, resistance to chemicals: decreased, caffeine (7.7 mM)); (null, killer toxin resistance: increased,  )
YCR088W	YBL007C	YIL095W	ku	ku	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR088W	YBL007C	YIL095W	ku	p	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR088W	YBL007C	YIL095W	p	ku	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR088W	YBL007C	YIL095W	p	p	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR088W	YBL007C	YNL094W	p	p	1	(null, killer toxin resistance: increased,  )
YCR088W	YBL007C	YNL106C	p	p	3	(null, resistance to chemicals: decreased, bleomycin (3.2 uM)); (null, toxin resistance: decreased,  ); (null, resistance to chemicals: decreased, caffeine (7.7 mM))
YCR088W	YBL007C	YOR181W	p	p	1	(null, actin cytoskeleton morphology: abnormal,  )
YCR088W	YBL047C	YIL095W	ku	ku	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR088W	YBL047C	YIL095W	p	ku	1	(null, oxidative stress resistance: decreased, hydrogen peroxide (3 mM))
YCR088W	YBL047C	YPL031C	ku	ku	1	(null, toxin resistance: decreased,  )
YDL006W	YBR133C	YDR507C	p	ku	1	(null, killer toxin resistance: increased,  )
YDL006W	YBR133C	YNL298W	p	ku	3	(null, resistance to chemicals: decreased, Congo Red (50 ug/ml)); (null, resistance to chemicals: decreased, hydroxyurea (100 mM)); (null, resistance to chemicals: decreased, sirolimus)
YDL028C	YBR107C	YIR010W	kd	p	1	(null, starvation resistance: decreased,  )
YDL029W	YBR108W	YDR388W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDL029W	YBR234C	YIL062C	p	p	2	(null, resistance to chemicals: decreased, chondramide derivative); (null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YBR234C	YJR065C	p	p	2	(null, resistance to chemicals: decreased, chondramide derivative); (null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YBR234C	YKL013C	p	p	2	(null, resistance to chemicals: decreased, chondramide derivative); (null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YBR234C	YLR337C	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDL029W	YBR234C	YLR370C	p	p	2	(null, resistance to chemicals: decreased, chondramide derivative); (null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YBR234C	YMR109W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDL029W	YBR234C	YNR035C	p	p	3	(null, resistance to chemicals: decreased, chondramide derivative); (repressible, mitochondrial morphology: abnormal, doxycycline (10 ug/ml)); (null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YBR234C	YOR181W	p	p	1	(null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YCR009C	YDR388W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
