oln_id_a	oln_id_b
YAR028W	YGL053W
YGR038C-B	YMR045C
YDR210C-D	YMR045C
YBL100W-B	YPR158W-B
YDR261W-A	YPR137C-A
YGR161C-D	YNL054W-A
YLR157C-A	YLR256W-A
YAR009C	YDR261W-B
YDR098C-B	YHR214C-B
YHR214C-C	YMR045C
YBL111C	YLL066C
YBR012W-A	YDR261C-D
YJR029W	YLR157C-B
YLR157C	YLR160C
YER189W	YNL339C
YDR210C-C	YPL257W-A
YMR051C	YNL054W-A
YOL103W-A	YPR158W-A
YOR142W-A	YPR137C-A
YBR298C	YDL247W
YBR012W-B	YDR261W-B
YKL220C	YOR384W
YCR104W	YLR037C
YER138C	YPR158C-C
YDR316W-B	YMR045C
YMR045C	YMR050C
YMR050C	YNL284C-A
YGR161C-C	YMR051C
YJR027W	YJR028W
YDR210W-B	YOR192C-B
YDR261C-C	YMR046C
YHR218W	YLR466W
YBL005W-B	YER138C
YDR406W	YIL013C
YLR157C-A	YML045W
YNL054W-A	YNL284C-A
YBR297W	YGR288W
YLL067C	YNL339C
YGR027W-A	YPR158C-D
YLL025W	YMR325W
YBL100W-A	YOR192C-A
YGR287C	YGR292W
YDR316W-B	YGR027W-A
YFL066C	YIL177C
YDR316W-B	YPR158W-B
YNL284C-A	YPR158W-B
YAL063C	YHR211W
YGR294W	YLL025W
YDR450W	YML026C
YER159C-A	YNL284C-B
YMR237W	YOR299W
YDL248W	YHL043W
YAL068C	YCR104W
YDR034C-D	YFL002W-B
YMR051C	YPR158W-A
YDR365W-A	YMR046C
YDR210W-B	YDR261C-D
YBL100W-B	YMR045C
YDR098C-B	YGR038C-A
YER073W	YOR374W
YHR214C-B	YJR029W
YHR214C-C	YPR158W-B
YAR071W	YBR093C
YDR034C-C	YOR142W-A
YHL043W	YKL219W
YBL100W-A	YJR026W
YGR161C-D	YPR158W-A
YOR142W-B	YPL257W-B
YEL077C	YER190W
YER137C-A	YOR142W-A
YGR038C-B	YPR158W-B
YHL043W	YJR161C
YBL005W-A	YLR157C-A
YBR169C	YPL106C
YLR410W-B	YML045W
YBL100W-A	YGR161W-A
YCL020W	YMR051C
YDR034C-C	YDR261W-A
YDR210C-D	YPR158W-B
YDR210C-D	YGR027W-A
YGR038C-A	YJR029W
YLR410W-A	YOR343W-B
YML045W-A	YPR158W-B
YKL224C	YLL064C
YDR210C-D	YLR157C-A
YBL005W-A	YGR027W-A
YER137C-A	YML045W
YGR038C-B	YLR157C-A
YHL050C	YLR467W
YBL005W-A	YPR158W-B
YDR261C-D	YML039W
