gene_name_a	oln_id_a	gene_description_a	gene_name_b	oln_id_b	gene_description_b	type
AI2	Q0055	Putative COX1/OXI3 intron 2 protein	AI1	Q0050	Putative COX1/OXI3 intron 1 protein	paralog
AI5_ALPHA	Q0070	Intron-encoded DNA endonuclease aI5 alpha precursor	COX1	Q0045	Cytochrome c oxidase subunit 1	paralog
UIP3	YAR027W	ULP1-interacting protein 3	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
NA	YAR028W	DUP240 protein YAR028W	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
NA	YAR028W	DUP240 protein YAR028W	UIP3	YAR027W	ULP1-interacting protein 3	paralog
NA	YAR029W	DUP240 protein YAR029W	UIP3	YAR027W	ULP1-interacting protein 3	paralog
NA	YAR029W	DUP240 protein YAR029W	NA	YAR028W	DUP240 protein YAR028W	paralog
PRM9	YAR031W	Pheromone-regulated membrane protein 9	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
PRM9	YAR031W	Pheromone-regulated membrane protein 9	UIP3	YAR027W	ULP1-interacting protein 3	paralog
PRM9	YAR031W	Pheromone-regulated membrane protein 9	NA	YAR028W	DUP240 protein YAR028W	paralog
PRM9	YAR031W	Pheromone-regulated membrane protein 9	NA	YAR029W	DUP240 protein YAR029W	paralog
MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	UIP3	YAR027W	ULP1-interacting protein 3	paralog
MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	NA	YAR028W	DUP240 protein YAR028W	paralog
MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	NA	YAR029W	DUP240 protein YAR029W	paralog
MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	PRM9	YAR031W	Pheromone-regulated membrane protein 9	paralog
FLO1	YAR050W	Flocculation protein FLO1 precursor	FLO9	YAL063C	Flocculation protein FLO9 precursor	paralog
TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
SSA3	YBL075C	Heat shock protein SSA3	SSA1	YAL005C	Heat shock protein SSA1	paralog
TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
SCO1	YBR037C	Protein SCO1, mitochondrial precursor	SCO2	YBR024W	Protein SCO2, mitochondrial precursor	ohnolog
RPL19A	YBR084C-A	60S ribosomal protein L19-A	RPL19B	YBL027W	60S ribosomal protein L19-B	ohnolog, paralog
AAC3	YBR085W	ADP,ATP carrier protein 3	PET9	YBL030C	ADP,ATP carrier protein 2	ohnolog, paralog
PHO3	YBR092C	Constitutive acid phosphatase precursor	PHO11	YAR071W	Acid phosphatase PHO11 precursor	paralog
PHO5	YBR093C	Repressible acid phosphatase precursor	PHO11	YAR071W	Acid phosphatase PHO11 precursor	paralog
PHO5	YBR093C	Repressible acid phosphatase precursor	PHO3	YBR092C	Constitutive acid phosphatase precursor	paralog
PAU24	YBR301W	Seripauperin-24 precursor	PAU8	YAL068C	Seripauperin-8 precursor	paralog
COS2	YBR302C	Protein COS2	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
COS2	YBR302C	Protein COS2	UIP3	YAR027W	ULP1-interacting protein 3	paralog
COS2	YBR302C	Protein COS2	NA	YAR028W	DUP240 protein YAR028W	paralog
COS2	YBR302C	Protein COS2	PRM9	YAR031W	Pheromone-regulated membrane protein 9	paralog
COS2	YBR302C	Protein COS2	MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	paralog
TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	TY1B-A	YAR009C	Truncated transposon Ty1-A Gag-Pol polyprotein	paralog
TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	TY1B-BL	YBL005W-B	Transposon Ty1-BL Gag-Pol polyprotein	paralog
TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	TY1B-BR	YBR012W-B	Transposon Ty1-BR Gag-Pol polyprotein	paralog
TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	TY1A-A	YAR010C	Transposon Ty1-A Gag polyprotein	paralog
TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	TY1A-BL	YBL005W-A	Transposon Ty1-BL Gag polyprotein	paralog
TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	TY2A-B	YBL100W-A	Transposon Ty2-B Gag polyprotein	paralog
TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	TY2B-B	YBL100W-B	Transposon Ty2-B Gag-Pol polyprotein	paralog
TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	TY1A-BR	YBR012W-A	Transposon Ty1-BR Gag polyprotein	paralog
TY2A-C	YCL020W	Transposon Ty2-C Gag polyprotein	TY2B-C	YCL019W	Transposon Ty2-C Gag-Pol polyprotein	paralog
AGP1	YCL025C	General amino acid permease AGP1	BAP2	YBR068C	Leu/Val/Ile amino-acid permease	paralog
NA	YCR007C	DUP240 protein YCR007C	NA	YAR023C	Putative DUP240 protein YAR023C	paralog
NA	YCR007C	DUP240 protein YCR007C	UIP3	YAR027W	ULP1-interacting protein 3	paralog
NA	YCR007C	DUP240 protein YCR007C	NA	YAR028W	DUP240 protein YAR028W	paralog
NA	YCR007C	DUP240 protein YCR007C	PRM9	YAR031W	Pheromone-regulated membrane protein 9	paralog
NA	YCR007C	DUP240 protein YCR007C	MST28	YAR033W	Multicopy suppressor of SEC21 protein 28	paralog
NA	YCR007C	DUP240 protein YCR007C	COS2	YBR302C	Protein COS2	paralog
BUD5	YCR038C	Bud site selection protein 5	NA	YCL068C	Putative uncharacterized protein YCL068C	paralog
MATALPHA2	YCR039C	Mating-type protein ALPHA2	HMLALPHA2	YCL067C	Silenced mating-type protein ALPHA2	paralog
