oln_id	overexpression_toxic	essential	periodically_expressed	uniprot_acc	gene_name	description	synonyms
YAL001C	0	1	0	P34111	TFC3	Transcription factor tau 138 kDa subunit	TSV115
YAL003W	0	1	0	P32471	EFB1	Elongation factor 1-beta	TEF5
YAL007C	0	0	1	P39704	ERP2	Protein ERP2 precursor	NA
YAL022C	1	0	1	P31381	FUN26	Nucleoside transporter FUN26	NA
YAL025C	0	1	1	P10962	MAK16	Protein MAK16	NA
YAL029C	1	0	0	P32492	MYO4	Myosin-4	SHE1
YAL030W	1	0	0	P31109	SNC1	Synaptobrevin homolog 1	NA
YAL031C	1	0	0	P39732	GIP4	GLC7-interacting protein 4	FUN21
YAL032C	1	1	0	P28004	PRP45	Pre-mRNA-processing protein 45	FUN20
YAL033W	1	1	0	P28005	POP5	Ribonuclease P/MRP protein subunit POP5	NA
YAL034C	1	0	0	P28003	FUN19	SWIRM domain-containing protein FUN19	NA
YAL034C-B	0	1	0	O13515	NA	Putative uncharacterized protein YAL034C-B precursor	NA
YAL034W-A	0	1	1	P39731	MTW1	Kinetochore-associated protein MTW1	DSN3;NSL2
YAL038W	0	1	0	P00549	CDC19	Pyruvate kinase 1	PYK1
YAL040C	0	0	1	P13365	CLN3	G1/S-specific cyclin CLN3	DAF1;WHI1
YAL041W	0	1	0	P11433	CDC24	Cell division control protein 24	CLS4
YAL043C	0	1	0	Q01329	PTA1	Pre-tRNA-processing protein PTA1	NA
YAL053W	1	0	1	P39719	FLC2	Flavin carrier protein 2 precursor	NA
YAL059W	0	0	1	P39715	ECM1	Shuttling pre-60S factor ECM1	SIM1
YAR002W	1	0	0	P39705	NUP60	Nucleoporin NUP60	FUN17
YAR003W	0	0	1	P39706	SWD1	COMPASS component SWD1	CPS50;SAF49
YAR007C	0	1	1	P22336	RFA1	Replication factor A protein 1	BUF2;RPA1
YAR008W	0	1	1	P39707	SEN34	tRNA-splicing endonuclease subunit SEN34	NA
YAR014C	1	0	0	P27637	BUD14	Bud site selection protein 14	NA
YAR018C	1	0	1	P22209	KIN3	Serine/threonine-protein kinase KIN3	NPK1
YAR019C	0	1	0	P27636	CDC15	Cell division control protein 15	LYT1
YBL002W	0	0	1	P02294	HTB2	Histone H2B.2	H2B2
YBL003C	1	0	1	P04912	HTA2	Histone H2A.2	H2A2
YBL004W	0	1	1	P35194	UTP20	U3 small nucleolar RNA-associated protein 20	NA
YBL005W	0	0	1	P33200	PDR3	Transcription factor PDR3	NA
YBL009W	1	0	1	P32789	ALK2	Serine/threonine-protein kinase Haspin homolog ALK2	NA
YBL010C	0	0	1	P32788	NA	Uncharacterized protein YBL010C	NA
YBL014C	1	1	0	P32786	RRN6	RNA polymerase I-specific transcription initiation factor RRN6	NA
YBL018C	0	1	0	P38208	POP8	Ribonucleases P/MRP protein subunit POP8	NA
YBL020W	0	1	0	P38206	RFT1	Oligosaccharide translocation protein RFT1	NA
YBL022C	1	0	0	P36775	PIM1	Lon protease homolog, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03120} precursor	LON
YBL023C	0	1	1	P29469	MCM2	DNA replication licensing factor MCM2	NA
